id;total_service_orders;total_volume;total_weight;total_finished_service_orders;days_to_start;days_to_accept;total_pickup_problems;total_delivery_problems
466308;2;0.0;1.788;2;0 days 03:25:06;0 days 00:00:04;0;0
466281;6;1.253;275.805;3;0 days 07:18:11;0 days 00:08:13;0;0
466305;4;0.02;1.7600000000000002;4;0 days 03:35:47;0 days 00:00:05;0;0
466069;14;0.27999999999999997;73.86999999999999;0;39 days 02:03:35;0 days 00:14:16;10;14
466120;60;3.9199999999999986;524.716;60;0 days 10:01:32;0 days 00:14:55;22;22
466050;38;0.5640000000000003;114.716;32;;;8;24
466073;80;1.8290000000000002;215.14199999999997;80;0 days 00:12:30;0 days 00:00:10;0;6
466131;112;1.8980000000000006;350.37800000000016;112;0 days 02:32:33;0 days 09:00:58;8;38
466150;90;2.384;62.57199999999999;90;0 days 12:37:02;0 days 00:45:02;4;26
466282;6;0.037000000000000005;5.849;3;0 days 06:39:28;0 days 00:35:36;0;0
466037;38;1.5200000000000007;162.1;38;0 days 02:06:08;0 days 00:57:14;0;0
466047;34;0.5600000000000003;50.82200000000002;34;0 days 00:42:34;0 days 00:00:06;0;0
466140;77;1.494;102.68400000000005;77;0 days 11:37:17;0 days 00:18:52;0;11
466039;14;0.24400000000000005;32.28;14;0 days 00:47:16;0 days 00:00:05;0;0
466054;44;0.6740000000000004;60.10200000000002;44;0 days 00:17:26;0 days 00:00:06;0;0
466134;98;1.7080000000000009;198.3580000000001;96;0 days 11:11:05;0 days 00:20:48;10;10
466060;58;0.9520000000000006;108.108;58;0 days 00:07:18;0 days 00:00:15;0;0
466114;6;0.060000000000000005;0.0;6;0 days 00:33:13;0 days 12:08:30;2;2
466093;8;0.04;2.0;8;0 days 00:01:55;0 days 00:02:02;0;0
466059;16;0.12799999999999997;29.532000000000004;16;0 days 00:10:24;0 days 00:00:13;0;0
466044;10;0.32200000000000006;30.991999999999997;10;0 days 00:44:12;0 days 00:00:08;0;0
466113;6;0.060000000000000005;0.0;6;0 days 12:25:12;0 days 01:35:44;0;0
466057;8;0.04;0.0;8;0 days 00:52:10;0 days 00:00:02;0;0
466089;6;0.036000000000000004;4.8;6;;;0;2
464758;10;0.09999999999999999;7.18;10;0 days 00:09:46;0 days 01:26:26;8;8
464781;4;0.0;5.32;4;1 days 21:11:08;0 days 00:29:41;4;4
464798;51;1.5439999999999998;113.48400000000001;51;0 days 12:01:09;0 days 02:27:40;37;43
464694;193;1.8840000000000008;274.02;193;1 days 01:32:32;0 days 00:00:27;2;5
464751;43;1.7200000000000009;216.14000000000001;43;0 days 01:49:52;0 days 00:12:15;3;3
464776;58;0.7620000000000002;50.383999999999986;58;0 days 00:06:51;0 days 00:00:08;0;58
464743;84;0.7360000000000004;65.52400000000004;84;0 days 00:00:18;0 days 20:58:51;0;8
464760;48;0.6430000000000003;44.243;48;0 days 00:45:20;0 days 00:00:06;0;46
464766;5;0.03;1.5999999999999999;5;0 days 00:31:20;0 days 00:00:04;0;3
464761;30;0.4520000000000002;42.443999999999996;30;0 days 00:44:07;0 days 00:00:05;0;0
464748;27;0.2540000000000001;29.699999999999996;27;0 days 00:28:53;0 days 00:00:08;3;3
